id,title,title_en,title_jp,source,members,score,format,episodes,season,year,starting_at,airing_day,studio,official_site,twitter_username
48651,Sakusei Byoutou The Animation,,搾精病棟 THE ANIMATION,Other,9666,7.06,OVA,,,,2021-04-30T00:00:00+00:00,,Seven,,
15407,Magical Suite Prism Nana,,まじかるすいーとプリズム・ナナ,Original,9444,5.86,OVA,7.0,,,2015-11-29T00:00:00+00:00,,Shaft,http://www.prism-nana.com/,
57160,Sand Land: The Series,,SAND LAND: THE SERIES,Manga,8693,7.59,ONA,13.0,,,2024-03-20T00:00:00+00:00,,Sunrise/ Anima/ Kamikaze Douga,https://sandland.jp/theseries/,sandland_pj_jp
58510,Hanma Baki vs. Kengan Ashura,,範馬刃牙VSケンガンアシュラ,Original,8385,,ONA,1.0,,,2024-06-06T00:00:00+00:00,,TMS Entertainment,,
58510,Hanma Baki vs. Kengan Ashura,,範馬刃牙VSケンガンアシュラ,Original,8385,,ONA,1.0,,,2024-06-06T00:00:00+00:00,,TMS Entertainment,,
2406,Sazae-san,Mrs. Sazae,サザエさん,4-koma manga,8369,6.13,TV,,fall,1969.0,1969-10-05T00:00:00+00:00,Sundays,Eiken,http://www.eiken-anime.jp/works/works014.html,
36686,Hifuu Katsudou Kiroku: The Sealed Esoteric History,Hifuu Club Activity Record: The Sealed Esoteric History,秘封活動記録 The Sealed Esoteric History,Game,8254,7.3,OVA,,,,2015-12-29T00:00:00+00:00,,,http://kyotofantasytroupe.net/,
40855,Hajimete no Hitozuma,,初めてのヒトヅマ,Manga,8239,6.78,OVA,,,,2020-05-22T00:00:00+00:00,,New Generation,,
49944,Shishunki no Obenkyou,,思春期のお勉強,Manga,8228,7.53,OVA,,,,2021-12-17T00:00:00+00:00,,Studio 1st,,
51859,Touken Ranbu Kai: Kyoden Moyuru Honnouji,,刀剣乱舞 廻 -虚伝 燃ゆる本能寺-,Other,8169,5.89,TV,8.0,spring,2024.0,2024-04-02T00:00:00+00:00,Tuesdays,domerica,https://touken-kai.jp/,touken_kai
49210,Grimm Kumikyoku,The Grimm Variations,グリム組曲,Original,7746,,ONA,6.0,,,2024-04-17T00:00:00+00:00,,Wit Studio,,
